repo_full_name,vintage_quarter,snapshot_sha,total_commits,ai_commits,ai_commit_fraction,tools_matched,first_ai_commit_date,marker_files_found
google-research/arxiv-latex-cleaner,2019Q1,144351064ae9b6526018785e50087d19738a8bb8,21,0,0.0,,,
9001/copyparty,2019Q2,85454e409a775401499d6b31d98a195c00ff8d16,101,0,0.0,,,
hummingbot/hummingbot,2019Q2,4941ec38b8090b8f458d19ca5ad98d667f561b4e,2495,0,0.0,,,
cool-RR/PySnooper,2019Q2,c0bf4bd0067d8d7618e40d27b2626e6f3cba4fce,248,0,0.0,,,
ddbourgin/numpy-ml,2019Q2,e8b7c983f2f2776e0a691667a07f72e6cc83019d,265,0,0.0,,,
encode/httpx,2019Q2,a0282569d5f74bb6ef7a8f5e88ac37257acbe6f2,423,0,0.0,,,
sissbruecker/linkding,2019Q2,1f7ccb214a75e0ebedbc6c88a30092efe89c35d1,42,0,0.0,,,
kedro-org/kedro,2019Q2,b97440aed1b75031d2201aafe604c030845b30ac,298,0,0.0,,,
hydra-ecosystem/hydra,2019Q2,492ac9e7ec5ded70ee736d121868bc49f8845b83,439,0,0.0,,,
vwxyzjn/cleanrl,2019Q2,15ca4add608e241e867ba1e78867284a5f3b895a,63,0,0.0,,,
seemoo-lab/opendrop,2019Q2,a61a2f6d9e03ef9ee99917cea7fe0a436b9d9556,13,0,0.0,,,
facebookresearch/detectron2,2019Q3,b8f4eebeb06827d49e31738c0997f919dac26aba,368,0,0.0,,,
deezer/spleeter,2019Q3,89d78bf31f4e247990b73f1e7b5997fa81cee562,178,0,0.0,,,
huggingface/sentence-transformers,2019Q3,b307063782ae2f1014a73262e1d29c910f9b4cf3,95,0,0.0,,,
NVIDIA-NeMo/Speech,2019Q3,c5a75494da8a45e602e782b6113191b029674b6f,1162,0,0.0,,,
tgbot-collection/YYeTsBot,2019Q3,31b7ef0a1e827ee42ca7059714fe0b6f347597a1,15,0,0.0,,,
Chia-Network/chia-blockchain,2019Q3,281be67729c15ad0c3f2f5dac13ed1cc4ad70007,336,0,0.0,,,
autogluon/autogluon,2019Q3,687f8a21de8afbd85a8294a30a48d62222506938,61,0,0.0,,,
Netflix/metaflow,2019Q3,592515e357d1ee81bd02600ca5ba127de73b3e43,72,0,0.0,,,
PaddlePaddle/PaddleSeg,2019Q3,d6eeca8c59a2349b165726c071e899fa62b71c33,471,0,0.0,,,
evilsocket/pwnagotchi,2019Q3,ccea7cbeefe3c65a2af8fd706a5a2d08b93ea15e,1525,0,0.0,,,
Textualize/rich,2019Q4,1cee954797b0f1f0e51efe0ab988f6c7a661f60b,423,0,0.0,,,
deepset-ai/haystack,2019Q4,73aed42f147fa0dff7acddb36e9bbf568711394d,151,0,0.0,,,
fastapi/typer,2019Q4,45fb7c4739f627179db318a26c3ada2dcf57d15f,221,0,0.0,,,
alexta69/metube,2019Q4,1895da93eac7e4f1d6fb8aa47404dc5e9de8dcb4,19,0,0.0,,,
PaddlePaddle/PaddleDetection,2019Q4,8a8b279ac1fc106d41822ff5958baefcb4aa84c3,245,0,0.0,,,
