dependency_name,fan_in
flask-swagger,2
tinycss2,2
stable-baselines,2
fschat,2
frozendict,2
frida,2
freetype-py,2
fqdn,2
fpdf,2
typed-ast,2
fonts,2
font-roboto,2
folium,2
backcall,2
docker-py,2
doclayout-yolo,2
codetiming,2
webcolors,2
flask-script,2
docling-core,2
web3,2
strawberry-graphql,2
flask-restful,2
backtrader,2
types-python-dateutil,2
clip-anytorch,2
flask-mail,2
bandit,2
threadpoolctl,2
weasyprint,2
dotenv,2
wetext,2
azure-cosmos,2
types-regex,2
tweepy,2
gnureadline,2
sphinx-autobuild,2
windows-curses,2
win32-setctime,2
attrdict,2
sphinx-bootstrap-theme,2
glob2,2
torch-optimizer,2
glfw,2
torch-geometric,2
comm,2
widgetsnbextension,2
git-changelog,2
auto-gptq,2
sphinxcontrib-napoleon,2
tinydb,2
tomli-w,2
whitenoise,2
ghp-import,2
colored,2
spidev,2
tencentcloud-sdk-python-tmt,2
tls-client,2
azure-ai-formrecognizer,2
gcsfs,2
gast,2
azure-ai-translation-text,2
tk,2
whisper,2
azure-core,2
batchgenerators,2
flask-compress,2
commonmark,2
fast-langdetect,2
ffmpy,2
einx,2
svglib,2
browser-cookie3,2
tesserocr,2
terminado,2
cel-python,2
unicodecsv,2
fasttext,2
eng-to-ipa,2
build,2
unicorn,2
catboost,2
fastapi-cli,2
eodhd,2
texify,2
tensorflow-datasets,2
uvicorn-worker,2
tensorflow-cpu,2
uuid6,2
uuid,2
user-agents,2
tensorflow-addons,2
tb-paddle,2
espeakng-loader,2
tensordict,2
ethereum,2
exifread,2
uri-template,2
bz2file,2
cf-clearance,2
text-generation,2
dpath,2
uiautomation,2
flask-babel,2
bcolz,2
click-log,2
cleo,2
typing-inspection,2
chromedriver-autoinstaller,2
dsinternals,2
dspy-ai,2
streamlit-option-menu,2
watchgod,2
beautifulsoup,2
cherrypy,2
uc-micro-py,2
e2b-code-interpreter,2
w3lib,2
finnhub-python,2
textgrid,2
voluptuous,2
channels,2
cssutils,2
biopython,2
flake8-comprehensions,2
bitstring,2
textblob,2
subprocess32,2
flake8-bugbear,2
ecdsa,2
chainlit,2
blessings,2
edgegpt,2
torch-scatter,2
geopandas,2
django-cors-headers,2
tree-sitter-rust,2
graspologic,2
grep-ast,2
datadog-api-client,2
aiortc,2
grpc-google-iam-v1,2
sherpa-onnx,2
tree-sitter-bash,2
yara-python,2
gtts,2
shap,2
gym-aloha,2
aioredis,2
youtube-dl,2
aiohttp-cors,2
datefinder,2
dateutils,2
aiohappyeyeballs,2
simple-term-menu,2
gpt4all,2
ansible,2
gputil,2
cornice,2
aniso8601,2
gql,2
analytics-python,2
daytona,2
dbt-core,2
dbt-bigquery,2
shutup,2
yagmail,2
db-dtypes,2
django-compressor,2
halo,2
dash,2
ansible-runner,2
adbutils,2
cvxpy,2
hydra-colorlog,2
agent-protocol,2
cvxopt,2
segno,2
aenum,2
tree-sitter-php,2
tree-sitter-javascript,2
cuda-python,2
hyperscan,2
screeninfo,2
zodb,2
ibm-watsonx-ai,2
tree-sitter-lua,2
cymem,2
hupper,2
aiocontextvars,2
aioboto3,2
tree-sitter-cpp,2
hdfs,2
crcmod,2
hf-xet,2
