repo,quarter,pooled_n_commits,pooled_n_contributors,pooled_mean_added_comment_len,pooled_median_hunk_added,pooled_mean_hunk_added,pooled_median_added_code_lines_per_commit,pooled_mean_added_code_lines_per_commit,pooled_total_added_code_lines,pooled_total_added_comment_lines,pooled_total_added_blank_lines,pooled_total_raw_added_lines,pooled_total_raw_deleted_lines,pooled_total_raw_n_files,excltop_n_commits,excltop_n_contributors,excltop_mean_added_comment_len,excltop_median_hunk_added,excltop_mean_hunk_added,excltop_median_added_code_lines_per_commit,excltop_mean_added_code_lines_per_commit,excltop_total_added_code_lines,excltop_total_added_comment_lines,excltop_total_added_blank_lines,excltop_total_raw_added_lines,excltop_total_raw_deleted_lines,excltop_total_raw_n_files,top_contributor,top_contributor_share_overall
matplotlib,2017Q3,369,49,46.151728768042965,2.0,4.084720587018229,2.0,14.970189701897018,5524,2979,1074,19258,19623,853,311,48,45.94034482758621,2.0,4.4404020099564026,2.0,14.395498392282958,4477,2900,1035,17964,14885,724,Antony Lee,0.1698370203372317
matplotlib,2017Q4,581,65,43.810317460317464,2.0,4.156789204554738,2.0,17.946643717728055,10427,1260,1472,19008,14256,1210,428,64,43.083788706739526,2.0,4.846648781432308,2.0,17.766355140186917,7604,1098,1257,13717,6344,775,Antony Lee,0.1698370203372317
matplotlib,2018Q1,706,80,52.83905013192612,1.8856209150326797,3.225024528123358,3.0,16.543909348441925,11680,1137,1207,22922,26750,1974,534,79,51.91730474732006,2.0,3.3949243030652565,2.5,11.853932584269662,6330,653,763,13942,14194,1019,Antony Lee,0.1698370203372317
matplotlib,2018Q2,416,52,48.47282608695652,1.819672131147541,4.968469500949475,2.5,16.557692307692307,6888,736,727,19160,12187,1318,317,51,46.234982332155475,1.8410714285714285,6.055187190896017,2.0,15.46056782334385,4901,566,583,16028,7843,842,Antony Lee,0.1698370203372317
matplotlib,2018Q3,591,55,50.26548672566372,1.5,3.492117375366033,2.0,13.302876480541455,7862,904,1262,14888,14493,1496,438,54,50.235023041474655,1.3333333333333333,3.7110703407213346,2.0,11.52283105022831,5047,651,904,10846,8411,1027,Antony Lee,0.1698370203372317
matplotlib,2018Q4,447,56,41.390143737166326,2.0,3.8576355931699493,3.0,13.176733780760626,5890,487,812,9916,7402,849,308,55,35.778481012658226,2.0,4.1095812725367376,3.0,11.954545454545455,3682,316,602,6742,3610,587,Antony Lee,0.1698370203372317
matplotlib,2019Q1,600,48,45.802413273001505,2.0,3.1155580379829053,3.0,11.693333333333333,7016,663,665,14647,11785,1344,344,47,49.79929577464789,2.0,3.312134802958518,2.0,8.752906976744185,3011,284,390,8278,4461,598,Antony Lee,0.1698370203372317
matplotlib,2019Q2,614,47,49.61031518624642,2.0,3.2328123090552996,4.0,13.802931596091206,8475,698,703,16024,14974,1703,374,46,47.37223974763407,2.0,3.349328022116345,2.0,11.748663101604278,4394,317,415,8737,5334,807,Antony Lee,0.1698370203372317
matplotlib,2019Q3,433,53,56.246006389776355,2.0,2.890043498973473,2.0,12.688221709006928,5494,626,377,9657,8267,922,266,52,57.62130177514793,1.6666666666666667,2.68568285000177,1.0,9.146616541353383,2433,338,197,5055,2488,539,Antony Lee,0.1698370203372317
matplotlib,2019Q4,420,45,48.17872340425532,1.8333333333333333,2.8860192361772192,3.0,13.692857142857143,5751,235,372,10213,11647,1048,233,44,47.17977528089887,2.0,3.2387020249463543,2.0,11.218884120171674,2614,89,203,5869,5790,561,Antony Lee,0.1698370203372317
matplotlib,2020Q1,575,57,54.05235602094241,1.8333333333333333,3.1565550568817846,4.0,14.140869565217391,8131,764,725,14646,15395,1514,298,56,48.98371335504886,2.0,3.731295244671629,2.0,12.61744966442953,3760,307,423,7490,4238,713,Antony Lee,0.1698370203372317
matplotlib,2020Q2,627,58,49.1646803900325,2.0,3.799782773554028,2.0,12.830940988835726,8045,923,881,14146,11304,1286,451,57,48.525874125874125,2.0,4.094686031167589,2.0,11.634146341463415,5247,715,654,9820,6357,832,Antony Lee,0.1698370203372317
matplotlib,2020Q3,699,67,50.04197530864197,2.0,3.712780937437419,3.0,14.793991416309012,10341,810,1400,19291,15157,1455,620,66,51.13984674329502,2.0,3.4551747943914983,2.0,10.453225806451613,6481,522,808,13987,8664,1215,Antony Lee,0.1698370203372317
matplotlib,2020Q4,438,64,53.196850393700785,2.0,4.246459076903692,2.0,12.529680365296803,5488,508,623,10129,10584,1044,347,63,53.497757847533634,2.0,4.893198894715837,2.0,13.288184438040346,4611,446,568,8810,6786,891,Antony Lee,0.1698370203372317
matplotlib,2021Q1,407,52,47.29917355371901,2.0,3.4401132048937817,2.0,13.036855036855037,5306,605,643,10706,8496,962,292,51,43.88668555240793,2.0,3.6750071554315364,2.0,9.270547945205479,2707,353,381,6857,4162,680,Antony Lee,0.1698370203372317
matplotlib,2021Q2,510,53,44.528141865844255,2.0,3.588161137959863,4.0,12.952941176470588,6606,1297,833,14210,14742,1339,374,52,45.430817610062896,2.0,3.186156972029503,3.0,11.467914438502675,4289,636,629,10302,10043,1061,Antony Lee,0.1698370203372317
matplotlib,2021Q3,596,51,49.819575471698116,2.0,3.582043148484319,3.0,16.79530201342282,10010,848,1382,21265,13268,1340,481,50,48.55420054200542,2.0,3.9574890704462597,3.0,16.775467775467774,8069,738,1190,18301,10245,1049,Antony Lee,0.1698370203372317
matplotlib,2021Q4,524,55,49.162929745889386,2.0,3.866767681283358,2.0,9.795801526717558,5133,2007,730,13018,10680,948,411,54,49.110813704496785,2.0,4.312255592678387,2.0,8.05352798053528,3310,1868,567,10282,7268,715,Antony Lee,0.1698370203372317
matplotlib,2022Q1,416,42,49.34810810810811,2.0,6.095384642655069,4.0,15.19951923076923,6323,925,874,12071,9394,929,327,41,48.63195266272189,2.0,7.158457167300662,3.0,15.26605504587156,4992,845,752,10047,7193,746,Antony Lee,0.1698370203372317
matplotlib,2022Q2,357,48,51.89367816091954,2.0,2.8838989969658533,2.0,6.764705882352941,2415,348,251,6652,4325,678,294,47,50.15079365079365,2.0,2.838440073129139,1.0,5.891156462585034,1732,252,179,5402,2990,532,Antony Lee,0.1698370203372317
matplotlib,2022Q3,431,46,50.4202380952381,2.0,3.969178191330918,1.0,14.076566125290023,6067,840,806,11799,8334,887,380,45,50.413071895424835,2.0,4.162214622482376,1.0,13.989473684210527,5316,765,746,10818,7072,778,Antony Lee,0.1698370203372317
matplotlib,2022Q4,557,60,49.22120418848168,1.6666666666666667,3.99275843685847,2.0,9.393177737881508,5232,764,556,14783,12043,1174,483,59,48.79346210995542,1.6666666666666667,4.110188175197421,2.0,8.130434782608695,3927,673,447,12653,9705,989,Antony Lee,0.1698370203372317
matplotlib,2023Q1,501,57,41.778116098615065,1.5773809523809523,10.021613395824188,2.0,35.20558882235529,17638,10181,4841,78134,76284,2593,439,56,41.55521381089394,1.629120879120879,11.328002384982748,2.0,38.05694760820045,16707,10079,4787,76254,73754,2380,Antony Lee,0.1698370203372317
matplotlib,2023Q2,337,54,49.87982832618026,2.0,5.486016913104806,2.0,17.89614243323442,6031,233,413,9781,5961,621,285,53,47.748768472906406,1.8798076923076923,5.8165750740370665,2.0,19.50175438596491,5558,203,386,8757,4634,534,Antony Lee,0.1698370203372317
matplotlib,2023Q3,374,56,37.85438335809807,1.5,6.54137962083405,2.0,15.286096256684491,5717,1346,549,10259,8056,724,333,55,37.48406676783004,1.4651515151515153,7.122815352267631,2.0,15.756756756756756,5247,1318,505,9544,7448,648,Antony Lee,0.1698370203372317
matplotlib,2023Q4,292,80,52.07910750507099,2.0,4.87314746798554,1.0,7.914383561643835,2311,493,229,6536,3842,674,265,79,50.893462469733656,1.875,5.156719372367612,1.0,6.886792452830188,1825,413,193,5851,2921,590,Antony Lee,0.1698370203372317
matplotlib,2024Q1,230,37,56.094339622641506,2.0,2.9993102433246914,1.0,6.778260869565218,1559,159,221,4195,2160,431,218,36,55.63576158940398,1.6666666666666667,2.997089938238264,1.0,6.545871559633028,1427,151,211,3953,2002,410,Antony Lee,0.1698370203372317
matplotlib,2024Q2,244,43,54.435331230283914,2.0,5.860758005075018,2.0,12.368852459016393,3018,317,477,7118,2717,484,213,42,54.593525179856115,2.0,6.504529891342238,2.0,12.633802816901408,2691,278,453,6642,2171,422,Antony Lee,0.1698370203372317
matplotlib,2024Q3,218,46,48.74235807860262,2.0,5.98415193268602,2.0,22.58256880733945,4923,229,398,10052,4421,772,211,45,48.70614035087719,2.0,6.141143463741918,2.0,22.77251184834123,4805,228,383,9875,4306,758,Antony Lee,0.1698370203372317
matplotlib,2024Q4,239,47,55.48805460750853,2.0,3.1971563442697355,2.0,12.447698744769875,2975,293,448,6668,2711,524,224,46,55.577060931899645,2.0,3.2372894071083302,2.0,12.549107142857142,2811,279,422,6406,2546,498,Antony Lee,0.1698370203372317
matplotlib,2025Q1,247,46,51.05769230769231,2.3166666666666664,4.558283128713801,2.0,9.23076923076923,2280,208,293,6022,3920,549,228,45,48.95070422535211,2.5,4.7116137886765594,2.0,8.780701754385966,2002,142,277,5580,3522,515,Antony Lee,0.1698370203372317
