name,found,repository_url,downloads,stargazers_count,forks_count,subscribers_count,open_issues_count,total_committers,total_commits,archived
praw,True,https://github.com/praw-dev/praw,1805978.0,3335.0,454.0,73.0,6.0,236.0,3267.0,False
praxis,True,https://github.com/google/praxis,11062.0,200.0,45.0,7.0,23.0,133.0,1663.0,False
pre-commit,True,https://github.com/pre-commit/pre-commit,173233075.0,15543.0,1000.0,91.0,26.0,164.0,1705.0,False
premailer,True,https://github.com/peterbe/premailer,4657733.0,1083.0,185.0,22.0,73.0,,,False
preshed,True,https://github.com/explosion/preshed,22449527.0,88.0,24.0,9.0,1.0,12.0,265.0,False
pretrainedmodels,True,https://github.com/cadene/pretrained-models.pytorch,88722.0,9098.0,1806.0,207.0,109.0,,,False
prettytable,True,https://github.com/prettytable/prettytable,51654545.0,1668.0,193.0,21.0,37.0,65.0,510.0,False
prisma,True,https://github.com/RobertCraigie/prisma-client-py,755203.0,2097.0,93.0,1.0,252.0,26.0,778.0,True
proglog,True,https://github.com/Edinburgh-Genome-Foundry/proglog,5965239.0,113.0,6.0,8.0,4.0,,,False
progress,True,https://github.com/verigak/progress,1967377.0,1431.0,179.0,18.0,35.0,17.0,63.0,False
progressbar,True,,491029.0,423.0,104.0,17.0,40.0,,,False
progressbar2,True,https://github.com/wolph/python-progressbar,19967693.0,879.0,106.0,19.0,1.0,50.0,848.0,False
prometheus-client,True,https://github.com/prometheus/client_python,154267040.0,4367.0,875.0,64.0,150.0,161.0,474.0,False
prompt-toolkit,True,https://github.com/prompt-toolkit/python-prompt-toolkit,214858546.0,10566.0,806.0,147.0,713.0,238.0,2764.0,False
propcache,True,https://github.com/aio-libs/propcache,508165404.0,37.0,21.0,7.0,7.0,,,False
proto-google-cloud-datastore-v1,True,https://github.com/googleapis/googleapis,82789.0,7600.0,2321.0,335.0,50.0,625.0,6616.0,False
proto-google-cloud-error-reporting-v1beta1,True,https://github.com/googleapis/googleapis,8447.0,8704.0,2621.0,356.0,51.0,1081.0,8698.0,False
proto-google-cloud-logging-v2,True,https://github.com/googleapis/googleapis,13811.0,8720.0,2625.0,367.0,51.0,1081.0,8698.0,False
proto-google-cloud-pubsub-v1,True,https://github.com/googleapis/googleapis,29908.0,8734.0,2629.0,369.0,51.0,1081.0,8698.0,False
proto-google-cloud-spanner-admin-database-v1,True,https://github.com/googleapis/googleapis,3164.0,8720.0,2625.0,367.0,51.0,1081.0,8698.0,False
proto-google-cloud-spanner-admin-instance-v1,True,https://github.com/googleapis/googleapis,3178.0,8704.0,2621.0,356.0,51.0,1081.0,8698.0,False
proto-google-cloud-spanner-v1,True,https://github.com/googleapis/googleapis,3230.0,8704.0,2621.0,356.0,51.0,1081.0,8698.0,False
proto-google-cloud-speech-v1beta1,True,https://github.com/googleapis/googleapis,1095.0,8720.0,2625.0,367.0,51.0,1081.0,8698.0,False
proto-google-cloud-vision-v1,True,https://github.com/googleapis/googleapis,1255.0,8704.0,2621.0,356.0,51.0,1081.0,8698.0,False
